id,prompt,answer,generated_cot,label,category,source,source_category
st_rule_abocd,"In Alice's Wonderland Symbol Transform knowledge, what is the fixed query shape used by this solver?",ABOCD (operator at index 2),"<think>
The solver assumes 5-char inputs with left pair AB, operator O, and right pair CD.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_same_op_first,"In Alice's Wonderland Symbol Transform knowledge, what evidence should be used first for query solving?",examples with the same operator as the query,"<think>
Same-operator examples are primary evidence; other operators are secondary context.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_direct_before_cipher,"In Alice's Wonderland Symbol Transform knowledge, which route is tested first?",direct position templates before encrypted digit-transform,"<think>
Direct template checks are cheap and high-precision; cipher route is used when direct checks fail.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_cipher_minimum,"In Alice's Wonderland Symbol Transform knowledge, what is the minimum same-operator evidence for reliable encrypted digit-transform search?",at least 2 same-operator examples for the query operator,"<think>
With only one same-op example, SKIP encrypted digit-transform because too many symbol-digit maps can fit; use direct templates if they pass, otherwise abstain.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_bijection,"In Alice's Wonderland Symbol Transform knowledge, what mapping constraint is enforced in cipher mode?",bijective symbol-to-digit mapping within a row,"<think>
Each symbol maps to one digit and each digit used in mapping maps back to one symbol for the row.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_unique,"In Alice's Wonderland Symbol Transform knowledge, when should the solver emit a prediction?",when surviving candidates agree on a unique output,"<think>
Prediction requires candidate agreement; disagreement indicates ambiguity.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_operator_local,"In Alice's Wonderland Symbol Transform knowledge, do operator symbols have global meanings across rows?",no,"<think>
Operator symbols are row-local; meaning is inferred from examples in the same row.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_decode_pipeline,"In Alice's Wonderland Symbol Transform knowledge, what is the standard cipher solve pipeline?",decode -> compute -> render -> encode,"<think>
Decode operands to digits, compute, apply output mode, then encode digits back to symbols.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_pairing_vocab,"In Alice's Wonderland Symbol Transform knowledge, list the four operand pairings used in cipher mode.","AB_CD, AB_DC, BA_CD, BA_DC","<think>
These pairings define how two 2-digit operands are formed from the four non-operator symbols.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_output_vocab,"In Alice's Wonderland Symbol Transform knowledge, list the three output rendering modes used in cipher mode.","raw, rev, abs","<think>
raw keeps digit order, rev reverses digit string, abs uses absolute value before encoding.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_concat_semantics,"In Alice's Wonderland Symbol Transform knowledge, what does concat(x,y) mean numerically?","concatenate decimal representations of x and y as strings, then parse as an integer","<think>
Concat treats operands as integers and concatenates their decimal forms.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_extra_1,"In Alice's Wonderland Symbol Transform knowledge (rule fact 1), should decode happen before applying the locked arithmetic rule?",yes,"<think>
Operands must be digits before arithmetic; symbols are row-local ciphertext.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_extra_2,"In Alice's Wonderland Symbol Transform knowledge (rule fact 2), should decode happen before applying the locked arithmetic rule?",yes,"<think>
Operands must be digits before arithmetic; symbols are row-local ciphertext.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_extra_3,"In Alice's Wonderland Symbol Transform knowledge (rule fact 3), should decode happen before applying the locked arithmetic rule?",yes,"<think>
Operands must be digits before arithmetic; symbols are row-local ciphertext.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_rule_extra_4,"In Alice's Wonderland Symbol Transform knowledge (rule fact 4), should decode happen before applying the locked arithmetic rule?",yes,"<think>
Operands must be digits before arithmetic; symbols are row-local ciphertext.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,rule_card
st_sparse_0001,"In Alice's Wonderland Symbol Transform knowledge (variant 1), if the row has two same-operator examples, which route is preferred before broad cipher enumeration?",encrypted digit-transform search reaches the minimum evidence gate,"<think>
Two same-op examples are the minimum evidence level for motif+rule search to emit a reliable cipher prediction.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,sparse_signal_policy
st_sparse_0002,"In Alice's Wonderland Symbol Transform knowledge (variant 2), if the row has three or more same-operator examples, which route is preferred before broad cipher enumeration?",encrypted digit-transform search with strong consistency checks,"<think>
More same-op examples increase confidence in motif+rule fits.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,sparse_signal_policy
st_sparse_0003,"In Alice's Wonderland Symbol Transform knowledge (variant 3), if the row has single same-operator example, which route is preferred before broad cipher enumeration?",SKIP encrypted digit-transform; only direct templates can solve safely,"<think>
A single same-op example is below the minimum for reliable encrypted digit-transform; if direct templates fail, mark the row unresolved instead of using a position-substitution prior.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,sparse_signal_policy
st_sparse_0004,"In Alice's Wonderland Symbol Transform knowledge (variant 4), if the row has two same-operator examples, which route is preferred before broad cipher enumeration?",encrypted digit-transform search reaches the minimum evidence gate,"<think>
Two same-op examples are the minimum evidence level for motif+rule search to emit a reliable cipher prediction.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,sparse_signal_policy
st_sparse_0005,"In Alice's Wonderland Symbol Transform knowledge (variant 5), if the row has three or more same-operator examples, which route is preferred before broad cipher enumeration?",encrypted digit-transform search with strong consistency checks,"<think>
More same-op examples increase confidence in motif+rule fits.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,sparse_signal_policy
st_sparse_0006,"In Alice's Wonderland Symbol Transform knowledge (variant 6), if the row has single same-operator example, which route is preferred before broad cipher enumeration?",SKIP encrypted digit-transform; only direct templates can solve safely,"<think>
A single same-op example is below the minimum for reliable encrypted digit-transform; if direct templates fail, mark the row unresolved instead of using a position-substitution prior.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,sparse_signal_policy
st_sparse_0007,"In Alice's Wonderland Symbol Transform knowledge (variant 7), if the row has two same-operator examples, which route is preferred before broad cipher enumeration?",encrypted digit-transform search reaches the minimum evidence gate,"<think>
Two same-op examples are the minimum evidence level for motif+rule search to emit a reliable cipher prediction.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,sparse_signal_policy
st_sparse_0008,"In Alice's Wonderland Symbol Transform knowledge (variant 8), if the row has three or more same-operator examples, which route is preferred before broad cipher enumeration?",encrypted digit-transform search with strong consistency checks,"<think>
More same-op examples increase confidence in motif+rule fits.
</think>",Symbol Transform Knowledge,Phase1A Symbol Transform Knowledge,deterministic_symbol_transform_knowledge,sparse_signal_policy
