question,answer,cot,category
"In Alice's Wonderland dictionary, list words starting with letters ""i"" through ""l"".","imagines, in, inside, island, key, king, knight, library","Wonderland words from ""i"" to ""l"": imagines, in, inside, island, key, king, knight, library (8 words).",recall_range
"In Alice's Wonderland dictionary, which word(s) match the pattern ""v??la?e""?",village,"The pattern ""v??la?e"" is a 7-letter word. From the Wonderland dictionary, ""village"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?rincess""?",princess,"The pattern ""?rincess"" is a 8-letter word. From the Wonderland dictionary, ""princess"" matches.",pattern_match
"Is the word ""heart"" in Alice's Wonderland dictionary?",No,"No, ""heart"" is not in the Wonderland dictionary. The 77 words do not include it.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ch?ses""?",chases,"The pattern ""ch?ses"" is a 6-letter word. From the Wonderland dictionary, ""chases"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??rt?e""?",turtle,"The pattern ""??rt?e"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""myster?ous""?",mysterious,"The pattern ""myster?ous"" is a 10-letter word. From the Wonderland dictionary, ""mysterious"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match ""?u??le""?","puzzle, turtle","The pattern ""?u??le"" matches 2 Wonderland words: puzzle, turtle. Context from the cipher mapping would be needed to disambiguate.",pattern_match_ambiguous
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??la?e""?",palace,"The pattern ""??la?e"" is a 6-letter word. From the Wonderland dictionary, ""palace"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?i?r?r""?",mirror,"The pattern ""?i?r?r"" is a 6-letter word. From the Wonderland dictionary, ""mirror"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""un?e?""?",under,"The pattern ""un?e?"" is a 5-letter word. From the Wonderland dictionary, ""under"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""anc?ent""?",ancient,"The pattern ""anc?ent"" is a 7-letter word. From the Wonderland dictionary, ""ancient"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""f?llows""?",follows,"The pattern ""f?llows"" is a 7-letter word. From the Wonderland dictionary, ""follows"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""??land""?",island,"The pattern ""??land"" is a 6-letter word. From the Wonderland dictionary, ""island"" matches.",pattern_match
"In Alice's Wonderland dictionary, list all words with exactly 8 letters.","colorful, explores, imagines, mountain, princess, treasure","The Wonderland dictionary has 6 word(s) with 8 letters: colorful, explores, imagines, mountain, princess, treasure.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""mi?ror""?",mirror,"The pattern ""mi?ror"" is a 6-letter word. From the Wonderland dictionary, ""mirror"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""drag?n""?",dragon,"The pattern ""drag?n"" is a 6-letter word. From the Wonderland dictionary, ""dragon"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""ca?""?",cat,"The pattern ""ca?"" is a 3-letter word. From the Wonderland dictionary, ""cat"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""rab?it""?",rabbit,"The pattern ""rab?it"" is a 6-letter word. From the Wonderland dictionary, ""rabbit"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""t?rt?e""?",turtle,"The pattern ""t?rt?e"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""s??ret""?",secret,"The pattern ""s??ret"" is a 6-letter word. From the Wonderland dictionary, ""secret"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?r?ates""?",creates,"The pattern ""?r?ates"" is a 7-letter word. From the Wonderland dictionary, ""creates"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?e?s""?",sees,"The pattern ""?e?s"" is a 4-letter word. From the Wonderland dictionary, ""sees"" matches.",pattern_match
"Is the word ""crown"" in Alice's Wonderland dictionary?",No,"No, ""crown"" is not in the Wonderland dictionary. The 77 words do not include it.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?slan?""?",island,"The pattern ""?slan?"" is a 6-letter word. From the Wonderland dictionary, ""island"" matches.",pattern_match
"In Alice's Wonderland dictionary, list all words related to adjectives.","ancient, bright, clever, colorful, curious, dark, golden, hidden, magical, mysterious, near, secret, silver, strange, wise","Wonderland words related to adjectives: ancient, bright, clever, colorful, curious, dark, golden, hidden, magical, mysterious, near, secret, silver, strange, wise (15 words).",recall_semantic
"In Alice's Wonderland dictionary, which word(s) match the pattern ""color??l""?",colorful,"The pattern ""color??l"" is a 8-letter word. From the Wonderland dictionary, ""colorful"" matches.",pattern_match
"In Alice's Wonderland dictionary, which word(s) match the pattern ""?a?b?t""?",rabbit,"The pattern ""?a?b?t"" is a 6-letter word. From the Wonderland dictionary, ""rabbit"" matches.",pattern_match
