id,split,diagnostic_type,diagnostic_subtype,source_mode,eval_eligible,split_policy
00d8b3db,sft_train,numeric_equation,prefix_postfix_op_suffix_rev_if_neg,real,true,auto
01cd504a,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
026106f5,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
03f07b43,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_len2,real,true,auto
04171e29,sft_train,numeric_equation,ba_dc_low_confidence_subtraction,real,true,auto
04322d27,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul,real,true,auto
047c4111,sft_train,numeric_equation,direct_template_template0134,real,true,auto
0505ab22,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_minus1,real,true,auto
053f4545,grpo_holdout,numeric_equation,operator_absence,real,true,auto
0641ef58,eval_holdout,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
07aef27f,sft_train,numeric_equation,prefix_postfix_op_prefix_rev,real,true,auto
07cbed38,grpo_holdout,numeric_equation,ba_dc_low_confidence_addition,real,true,auto
0819520a,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
08d8d7e1,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
09302769,eval_holdout,numeric_equation,ab_cd_addition_ab_cd_len2,real,true,auto
094bf548,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_mix,real,true,auto
0a15c5c7,grpo_holdout,numeric_equation,ba_dc_low_confidence_subtraction,real,true,auto
0cd170a0,sft_train,numeric_equation,direct_template_template0134,real,true,auto
0f0536de,sft_train,numeric_equation,prefix_postfix_op_prefix_if_neg,real,true,auto
1019ee55,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
10d7bd1b,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
10fdae00,grpo_holdout,numeric_equation,ba_dc_low_confidence_subtraction,real,true,auto
10ff9431,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
114a8d85,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
118889da,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_mix,real,true,auto
118f8c86,sft_train,numeric_equation,prefix_postfix_op_prefix_if_neg,real,true,auto
11f62c83,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
124db55f,sft_train,numeric_equation,operator_absence,real,true,auto
12d4a2df,eval_holdout,numeric_equation,ba_dc_modular_ba_dc_len2,real,true,auto
1322241b,sft_train,numeric_equation,ab_cd_addition_ab_cd_len3,real,true,auto
13892a7c,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
13ad7bce,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
144a3e31,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
1450fbc4,sft_train,numeric_equation,ab_cd_addition_ab_cd_mix,real,true,auto
14905278,grpo_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
1497f970,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
1526c35d,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul,real,true,auto
155b4694,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
157228d7,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_len2,real,true,auto
1580f498,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
15a1d279,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
163db2d8,grpo_holdout,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
164b3241,sft_train,numeric_equation,ab_cd_addition_ab_cd_mix,real,true,auto
1779c616,sft_train,numeric_equation,ab_cd_addition_ab_cd_len3,real,true,auto
17c98340,sft_train,numeric_equation,ba_dc_low_confidence_addition,real,true,auto
18268687,grpo_holdout,numeric_equation,ab_cd_subtraction_ab_cd_len2,real,true,auto
1861c08f,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
1bc85bd9,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
1c4861e6,sft_train,numeric_equation,operator_absence,real,true,auto
1c48f9aa,sft_train,numeric_equation,direct_template_template0134,real,true,auto
1cb4d524,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
1d6c587d,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
1d92ba5d,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
1db0c6fe,sft_train,numeric_equation,ab_cd_addition_ab_cd_mix,real,true,auto
