id,prompt,answer,generated_cot,label,category,source,source_category
st_meth_router_order,"In Alice's Wonderland Symbol Transform methodology, what is the route order?",same-op direct templates -> same-op encrypted digit-transform -> abstain if evidence is too sparse,"<think>
Start with cheap direct template checks, then encrypted digit-transform only with enough same-op evidence; do not use position-substitution priors for sparse rows.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_same_op,"In Alice's Wonderland Symbol Transform methodology, why isolate same-operator examples first?",because operator semantics are row-local and operator-specific,"<think>
Same-op evidence controls query-operator rule fit; mixing operators too early creates false constraints.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_reject_fail,"In Alice's Wonderland Symbol Transform methodology, when should a candidate be rejected?",as soon as one same-operator example mismatches,"<think>
A single mismatch is enough to reject the candidate and move to the next rule/template.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_lock_rule,"In Alice's Wonderland Symbol Transform methodology, when is motif+rule locked?",when it stays consistent across all same-operator examples,"<think>
Lock only after full same-op consistency checks pass.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_predict_gate,"In Alice's Wonderland Symbol Transform methodology, when is final prediction emitted?",when surviving candidates agree on one output,"<think>
If candidates disagree, mark ambiguous instead of forcing an answer.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_adaptive_retry,"In Alice's Wonderland Symbol Transform methodology, when should adaptive retry be used?",for no_rule cases only (safe retry policy),"<think>
Safe retry widens search for no_rule rows; avoid ambiguous retry by default to protect precision.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_decode_first,"In Alice's Wonderland Symbol Transform methodology, must operands be decoded before arithmetic?",yes,"<think>
Cipher mode always decodes symbols to digits before applying the locked arithmetic rule.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_encode_last,"In Alice's Wonderland Symbol Transform methodology, when is the final symbol string produced?",after render mode is applied and digits are encoded back to symbols,"<think>
Encode is the last step after compute and output-mode rendering.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_no_cross_row,"In Alice's Wonderland Symbol Transform methodology, can symbol meanings be copied from another row?",no,"<think>
Each row is self-contained; cross-row symbol reuse is not assumed.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_no_sparse_prior,"In Alice's Wonderland Symbol Transform methodology, should a one-example position-substitution prior be used after direct templates fail?",no,"<think>
One-example position priors can force answers from accidental symbol overlap; mark unresolved instead.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_cipher_min_same_op,"In Alice's Wonderland Symbol Transform methodology, what is the minimum same-operator evidence for encrypted digit-transform search to emit a final prediction?",at least 2 same-operator examples for the query operator,"<think>
One same-op example leaves too many symbol-digit maps; SKIP broad cipher search and mark ambiguous unless direct templates already solved it.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_one_same_op_no_cipher,"In Alice's Wonderland Symbol Transform methodology, if there is only one same-operator example and direct templates fail, should broad encrypted digit-transform be trusted?","no, SKIP encrypted digit-transform","<think>
One same-op example is below the reliability gate for broad cipher search; SKIP it and mark the row unresolved rather than using a position-substitution prior.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_global_motif_min,"In Alice's Wonderland Symbol Transform methodology, what same-operator support is needed before row-global motif consistency can support a cipher prediction?",at least 2 same-operator examples,"<think>
Global motif consistency is useful only after the query operator itself has enough evidence to avoid one-example hallucinated cipher maps.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_example_order,"In Alice's Wonderland Symbol Transform methodology, should same-operator examples be checked in a fixed row order?","yes, use the provided example order for deterministic tie handling","<think>
Stable ordering makes mismatch rejection and candidate scanning reproducible across runs.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,router_card
st_meth_direct_00001,"In Alice's Wonderland Symbol Transform methodology, query has 1 same-operator example(s). Template 0134 fails on the first check, and template 3401 passes all checks. What should the solver do next?",lock template 3401 and apply it to query,"<think>
Reject 0134 immediately on mismatch; lock 3401 after all same-op checks pass; then apply to query.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,direct_template_workflow
st_meth_direct_00002,"In Alice's Wonderland Symbol Transform methodology, query has 1 same-operator example(s). Template 0134 fails on the second check, and template 3401 passes all checks. What should the solver do next?",lock template 3401 and apply it to query,"<think>
Reject 0134 immediately on mismatch; lock 3401 after all same-op checks pass; then apply to query.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,direct_template_workflow
st_meth_direct_00003,"In Alice's Wonderland Symbol Transform methodology, query has 1 same-operator example(s). Template 0134 fails on the third check, and template 3401 passes all checks. What should the solver do next?",lock template 3401 and apply it to query,"<think>
Reject 0134 immediately on mismatch; lock 3401 after all same-op checks pass; then apply to query.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,direct_template_workflow
st_meth_direct_00004,"In Alice's Wonderland Symbol Transform methodology, query has 1 same-operator example(s). Template 3401 fails on the first check, and template 0134 passes all checks. What should the solver do next?",lock template 0134 and apply it to query,"<think>
Reject 3401 immediately on mismatch; lock 0134 after all same-op checks pass; then apply to query.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,direct_template_workflow
st_meth_direct_00005,"In Alice's Wonderland Symbol Transform methodology, query has 1 same-operator example(s). Template 3401 fails on the second check, and template 0134 passes all checks. What should the solver do next?",lock template 0134 and apply it to query,"<think>
Reject 3401 immediately on mismatch; lock 0134 after all same-op checks pass; then apply to query.
</think>",Symbol Transform Methodology,Phase1B Symbol Transform Methodology,deterministic_symbol_transform_methodology,direct_template_workflow
