id,prompt,answer,generated_cot,label,category,source,source_category
ne_meth_step_order,"In Alice's Wonderland numeric_equation methodology, what is the correct high-level order?",same-op examples -> infer pairing/base/outmode/width -> verify -> apply to query,"<think>
Use same-op evidence first, infer the rule, verify on examples, then apply to the query.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,procedure_card
ne_meth_other_ops_role,"In Alice's Wonderland numeric_equation methodology, what role do other operators play when query operator has examples?",row-level motif evidence only,"<think>
Other operators mainly suggest row motif (pairing/output style), not direct query-operator base rule.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,procedure_card
ne_meth_absent_op,"In Alice's Wonderland numeric_equation methodology, what if the query operator has no examples?","infer motif from other operators, then use a stated deterministic tie-break","<think>
For absent-op rows, rely on motif and an explicit tie-break such as simplest unused base.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,procedure_card
ne_meth_ambiguity,"In Alice's Wonderland numeric_equation methodology, what if several rules fit all visible examples?",treat it as ambiguous and apply a declared tie-break,"<think>
When multiple rules are equally consistent, do not pretend uniqueness. Use a declared deterministic policy.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,procedure_card
ne_meth_verify,"In Alice's Wonderland numeric_equation methodology, when is a candidate rule trusted?",only after it reproduces every relevant example exactly,"<think>
A candidate must match all same-op training examples before being applied to query.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,procedure_card
ne_meth_width,"In Alice's Wonderland numeric_equation methodology, where should width be inferred from?",from visible example formatting,"<think>
Width should be inferred from the row's visible outputs, not guessed from the query alone.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,procedure_card
ne_meth_sameop_matrix_001,"In Alice's Wonderland numeric_equation methodology, suppose the query has 0 same-operator example(s) and 0 candidate rule(s) fit those examples. Which pathway should be used?",absent-op pathway,"<think>
No same-op evidence exists, so infer motif from other operators and apply absent-op policy.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_002,"In Alice's Wonderland numeric_equation methodology, suppose the query has 0 same-operator example(s) and 1 candidate rule(s) fit those examples. Which pathway should be used?",absent-op pathway,"<think>
No same-op evidence exists, so infer motif from other operators and apply absent-op policy.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_003,"In Alice's Wonderland numeric_equation methodology, suppose the query has 0 same-operator example(s) and 2 candidate rule(s) fit those examples. Which pathway should be used?",absent-op pathway,"<think>
No same-op evidence exists, so infer motif from other operators and apply absent-op policy.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_004,"In Alice's Wonderland numeric_equation methodology, suppose the query has 0 same-operator example(s) and 3 candidate rule(s) fit those examples. Which pathway should be used?",absent-op pathway,"<think>
No same-op evidence exists, so infer motif from other operators and apply absent-op policy.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_005,"In Alice's Wonderland numeric_equation methodology, suppose the query has 0 same-operator example(s) and 4 candidate rule(s) fit those examples. Which pathway should be used?",absent-op pathway,"<think>
No same-op evidence exists, so infer motif from other operators and apply absent-op policy.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_006,"In Alice's Wonderland numeric_equation methodology, suppose the query has 1 same-operator example(s) and 0 candidate rule(s) fit those examples. Which pathway should be used?",no candidate in current DSL,"<think>
Same-op examples exist but no candidate fits all of them; this row is outside current DSL.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_007,"In Alice's Wonderland numeric_equation methodology, suppose the query has 1 same-operator example(s) and 1 candidate rule(s) fit those examples. Which pathway should be used?",unique same-op candidate,"<think>
Exactly one candidate survives same-op checks, so select it and verify formatting details.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_008,"In Alice's Wonderland numeric_equation methodology, suppose the query has 1 same-operator example(s) and 2 candidate rule(s) fit those examples. Which pathway should be used?",ambiguous same-op candidates,"<think>
Several candidates fit same-op examples, so use declared tie-break and report lower confidence.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_009,"In Alice's Wonderland numeric_equation methodology, suppose the query has 1 same-operator example(s) and 3 candidate rule(s) fit those examples. Which pathway should be used?",ambiguous same-op candidates,"<think>
Several candidates fit same-op examples, so use declared tie-break and report lower confidence.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_010,"In Alice's Wonderland numeric_equation methodology, suppose the query has 1 same-operator example(s) and 4 candidate rule(s) fit those examples. Which pathway should be used?",ambiguous same-op candidates,"<think>
Several candidates fit same-op examples, so use declared tie-break and report lower confidence.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_011,"In Alice's Wonderland numeric_equation methodology, suppose the query has 2 same-operator example(s) and 0 candidate rule(s) fit those examples. Which pathway should be used?",no candidate in current DSL,"<think>
Same-op examples exist but no candidate fits all of them; this row is outside current DSL.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_012,"In Alice's Wonderland numeric_equation methodology, suppose the query has 2 same-operator example(s) and 1 candidate rule(s) fit those examples. Which pathway should be used?",unique same-op candidate,"<think>
Exactly one candidate survives same-op checks, so select it and verify formatting details.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_013,"In Alice's Wonderland numeric_equation methodology, suppose the query has 2 same-operator example(s) and 2 candidate rule(s) fit those examples. Which pathway should be used?",ambiguous same-op candidates,"<think>
Several candidates fit same-op examples, so use declared tie-break and report lower confidence.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_014,"In Alice's Wonderland numeric_equation methodology, suppose the query has 2 same-operator example(s) and 3 candidate rule(s) fit those examples. Which pathway should be used?",ambiguous same-op candidates,"<think>
Several candidates fit same-op examples, so use declared tie-break and report lower confidence.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
ne_meth_sameop_matrix_015,"In Alice's Wonderland numeric_equation methodology, suppose the query has 2 same-operator example(s) and 4 candidate rule(s) fit those examples. Which pathway should be used?",ambiguous same-op candidates,"<think>
Several candidates fit same-op examples, so use declared tie-break and report lower confidence.
</think>",Numeric Equation Methodology,Phase1B Numeric Equation Methodology,deterministic_numeric_equation_methodology,same_op_decision_matrix
