id,prompt,answer,generated_cot,label,category,source,source_category
text_knowledge_00001,"In Alice's Wonderland dictionary, list words starting with letters ""i"" through ""l"".","imagines, in, inside, island, key, king, knight, library","<think>
Wonderland words from ""i"" to ""l"": imagines, in, inside, island, key, king, knight, library (8 words).
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,recall_range
text_knowledge_00002,"In Alice's Wonderland dictionary, which word(s) match the pattern ""v??la?e""?",village,"<think>
The pattern ""v??la?e"" is a 7-letter word. From the Wonderland dictionary, ""village"" matches.
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00003,"In Alice's Wonderland dictionary, which word(s) match the pattern ""?rincess""?",princess,"<think>
The pattern ""?rincess"" is a 8-letter word. From the Wonderland dictionary, ""princess"" matches.
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00004,"Is the word ""heart"" in Alice's Wonderland dictionary?",No,"<think>
No, ""heart"" is not in the Wonderland dictionary. The 77 words do not include it.
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00005,"In Alice's Wonderland dictionary, which word(s) match the pattern ""ch?ses""?",chases,"<think>
The pattern ""ch?ses"" is a 6-letter word. From the Wonderland dictionary, ""chases"" matches.
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00006,"In Alice's Wonderland dictionary, which word(s) match the pattern ""??rt?e""?",turtle,"<think>
The pattern ""??rt?e"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00007,"In Alice's Wonderland dictionary, which word(s) match the pattern ""myster?ous""?",mysterious,"<think>
The pattern ""myster?ous"" is a 10-letter word. From the Wonderland dictionary, ""mysterious"" matches.
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00008,"In Alice's Wonderland dictionary, which word(s) match ""?u??le""?","puzzle, turtle","<think>
The pattern ""?u??le"" matches 2 Wonderland words: puzzle, turtle. Context from the cipher mapping would be needed to disambiguate.
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match_ambiguous
text_knowledge_00009,"In Alice's Wonderland dictionary, which word(s) match the pattern ""??la?e""?",palace,"<think>
The pattern ""??la?e"" is a 6-letter word. From the Wonderland dictionary, ""palace"" matches.
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00010,"In Alice's Wonderland dictionary, which word(s) match the pattern ""?i?r?r""?",mirror,"<think>
The pattern ""?i?r?r"" is a 6-letter word. From the Wonderland dictionary, ""mirror"" matches.
</think>",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
