id,category,split
00066667,Bit Manipulation,sft_train
00189f6a,Text Cipher,sft_train
001b24c4,Numeral System,sft_train
001c63cb,Text Cipher,sft_train
0031df9c,Bit Manipulation,sft_train
0040ff76,Gravity,sft_train
00457d26,Transformation Rules,sft_train
00463d04,Gravity,sft_train
0047365c,Unit Conversion,sft_train
004ef7c7,Bit Manipulation,sft_train
0059df78,Unit Conversion,sft_train
005ad22a,Text Cipher,sft_train
00619cba,Gravity,sft_train
006a46d3,Unit Conversion,sft_train
0073bcbb,Gravity,sft_train
00890aff,Bit Manipulation,sft_train
00a3fd23,Text Cipher,sft_train
00c032a8,Transformation Rules,sft_train
00c8ab45,Unit Conversion,sft_train
00d1932c,Unit Conversion,sft_train
00d8b3db,Transformation Rules,sft_train
00ec1c63,Gravity,sft_train
00ed1836,Gravity,sft_train
00efa37c,Text Cipher,sft_train
00fdc0be,Bit Manipulation,sft_train
010055e2,Unit Conversion,sft_train
0106eb4a,Numeral System,sft_train
0122d53a,Numeral System,sft_train
01248b76,Bit Manipulation,sft_train
012cab1f,Transformation Rules,sft_train
012fb81b,Bit Manipulation,sft_train
0133bcec,Transformation Rules,sft_train
0162e157,Numeral System,sft_train
016c474c,Bit Manipulation,sft_train
017a161b,Text Cipher,sft_train
0184a864,Text Cipher,sft_train
0186fc54,Numeral System,sft_train
018871ed,Numeral System,sft_train
018c6f61,Text Cipher,sft_train
01a065bb,Gravity,sft_train
01a44deb,Unit Conversion,sft_train
01b2aa67,Transformation Rules,sft_train
01c5cb71,Text Cipher,sft_train
01cd504a,Transformation Rules,sft_train
01d894fb,Bit Manipulation,sft_train
01d96398,Unit Conversion,sft_train
01f7d5de,Numeral System,sft_train
01f90423,Gravity,sft_train
0201e198,Bit Manipulation,sft_train
020a2ec4,Numeral System,sft_train
020d8b25,Gravity,sft_train
02102281,Text Cipher,sft_train
021ed764,Bit Manipulation,sft_train
0220c8b2,Unit Conversion,sft_train
0224a397,Text Cipher,sft_train
0228335b,Bit Manipulation,sft_train
022b5f8b,Text Cipher,sft_train
022c1a0d,Numeral System,sft_train
022c4d73,Transformation Rules,sft_train
02356cb8,Unit Conversion,sft_train
023aa939,Gravity,sft_train
0240254e,Numeral System,sft_train
024101d9,Bit Manipulation,sft_train
02422609,Unit Conversion,sft_train
0245b9bb,Bit Manipulation,sft_train
024678e0,Text Cipher,sft_train
025abbbb,Bit Manipulation,sft_train
026106f5,Transformation Rules,sft_train
02664ad5,Transformation Rules,sft_train
028c71d7,Gravity,sft_train
02902eb3,Transformation Rules,sft_train
0290f51a,Bit Manipulation,sft_train
02a57a2f,Unit Conversion,sft_train
02a5a1ca,Bit Manipulation,sft_train
02a66bcb,Bit Manipulation,sft_train
02b8d816,Transformation Rules,sft_train
02beaa05,Gravity,sft_train
02c15453,Transformation Rules,sft_train
02d4b022,Numeral System,sft_train
02da60a0,Gravity,sft_train
02e2589e,Text Cipher,sft_train
02e4851e,Numeral System,sft_train
02e871e4,Transformation Rules,sft_train
02fb9923,Text Cipher,sft_train
030479a6,Bit Manipulation,sft_train
0311b798,Bit Manipulation,sft_train
03135557,Text Cipher,sft_train
031a5f02,Unit Conversion,sft_train
0320cf76,Gravity,sft_train
03249403,Text Cipher,sft_train
032fc96f,Bit Manipulation,sft_train
033d2b33,Text Cipher,sft_train
034930e2,Bit Manipulation,sft_train
034fb629,Bit Manipulation,sft_train
035c4c40,Transformation Rules,sft_train
0375a010,Numeral System,sft_train
037921b9,Gravity,sft_train
037c45c6,Gravity,sft_train
037cbabf,Gravity,sft_train
039921f2,Numeral System,sft_train
03a04492,Unit Conversion,sft_train
03a3437f,Transformation Rules,sft_train
03abf270,Numeral System,sft_train
03bf2ac0,Numeral System,sft_train
03c5783b,Unit Conversion,sft_train
03cb7b73,Gravity,sft_train
03deaa1c,Text Cipher,sft_train
03e2bedc,Text Cipher,sft_train
03e3c7b6,Unit Conversion,sft_train
03f07b43,Transformation Rules,sft_train
03fba6b6,Text Cipher,sft_train
0409e7d8,Gravity,sft_train
04171e29,Transformation Rules,sft_train
04183bf9,Bit Manipulation,sft_train
0422aab3,Text Cipher,sft_train
0429104b,Unit Conversion,sft_train
04322d27,Transformation Rules,sft_train
0440e6ab,Bit Manipulation,sft_train
04415462,Unit Conversion,sft_train
0446e032,Unit Conversion,sft_train
044cac3d,Text Cipher,sft_train
044de524,Text Cipher,sft_train
0454705a,Transformation Rules,sft_train
045a58f0,Numeral System,sft_train
046e8532,Bit Manipulation,sft_train
04732729,Unit Conversion,sft_train
04768bb8,Text Cipher,sft_train
047b775b,Numeral System,sft_train
048cc279,Bit Manipulation,sft_train
049be61b,Text Cipher,sft_train
04b818d2,Unit Conversion,sft_train
04c1e45b,Text Cipher,sft_train
04c23a05,Gravity,sft_train
04c44df4,Bit Manipulation,sft_train
04d492a9,Bit Manipulation,sft_train
04f03c7e,Numeral System,sft_train
04f569be,Numeral System,sft_train
050492a9,Unit Conversion,sft_train
0505ab22,Transformation Rules,sft_train
05195c8e,Numeral System,sft_train
0520a6ec,Bit Manipulation,sft_train
052289d8,Numeral System,sft_train
0528d502,Bit Manipulation,sft_train
0536483a,Bit Manipulation,sft_train
053b4c86,Transformation Rules,sft_train
054d3e92,Gravity,sft_train
055a8b01,Transformation Rules,sft_train
056993ca,Unit Conversion,sft_train
058b2d19,Text Cipher,sft_train
05978845,Numeral System,sft_train
05992f55,Numeral System,sft_train
059af21b,Gravity,sft_train
059bced5,Numeral System,sft_train
05aa40de,Text Cipher,sft_train
05b5ffe1,Bit Manipulation,sft_train
05bd2dab,Transformation Rules,sft_train
05c36467,Transformation Rules,sft_train
05c939be,Numeral System,sft_train
05ca617c,Bit Manipulation,sft_train
05d58fb3,Bit Manipulation,sft_train
05d88aa8,Unit Conversion,sft_train
05d90bdf,Text Cipher,sft_train
05e780c4,Numeral System,sft_train
05fc4fcb,Numeral System,sft_train
05fcec41,Unit Conversion,sft_train
06048616,Numeral System,sft_train
06083e68,Transformation Rules,sft_train
06120e47,Bit Manipulation,sft_train
0624c50c,Numeral System,sft_train
0625f633,Transformation Rules,sft_train
062ccf0e,Gravity,sft_train
062fd9cb,Gravity,sft_train
063564fa,Unit Conversion,sft_train
06412918,Bit Manipulation,sft_train
0641ef58,Transformation Rules,sft_train
065f9dea,Transformation Rules,sft_train
067a0668,Text Cipher,sft_train
06881e47,Bit Manipulation,sft_train
06907f76,Unit Conversion,sft_train
06940ba0,Unit Conversion,sft_train
069813dc,Gravity,sft_train
0698da5a,Text Cipher,sft_train
069dbaab,Bit Manipulation,sft_train
06a9fd5b,Unit Conversion,sft_train
06b23a36,Unit Conversion,sft_train
06b3ee9d,Gravity,sft_train
06c2734d,Numeral System,sft_train
06d1980f,Numeral System,sft_train
06d682ea,Text Cipher,sft_train
06ef5c5c,Unit Conversion,sft_train
07097221,Unit Conversion,sft_train
070991c8,Unit Conversion,sft_train
070e986f,Unit Conversion,sft_train
0716b06e,Numeral System,sft_train
0718c7c7,Unit Conversion,sft_train
07249300,Numeral System,sft_train
0734d679,Text Cipher,sft_train
073942b5,Bit Manipulation,sft_train
073c40ce,Text Cipher,sft_train
076fda72,Numeral System,sft_train
07735828,Unit Conversion,sft_train
077b20f7,Gravity,sft_train
077cfc0b,Unit Conversion,sft_train
078cfc7b,Unit Conversion,sft_train
078df00e,Transformation Rules,sft_train
078e4ee7,Numeral System,sft_train
079c8d4f,Text Cipher,sft_train
07b440f0,Transformation Rules,sft_train
07b8c3d3,Gravity,sft_train
07c09384,Text Cipher,sft_train
07cbed38,Transformation Rules,sft_train
07ceed47,Bit Manipulation,sft_train
07d1cd39,Bit Manipulation,sft_train
07d4f5a6,Unit Conversion,sft_train
07d61ec8,Bit Manipulation,sft_train
07d8149a,Bit Manipulation,sft_train
07e9a377,Gravity,sft_train
07f8b9ab,Unit Conversion,sft_train
07faa7e3,Text Cipher,sft_train
0805b912,Numeral System,sft_train
080b44aa,Bit Manipulation,sft_train
08111d57,Transformation Rules,sft_train
081736c8,Unit Conversion,sft_train
0819520a,Transformation Rules,sft_train
081ad3f3,Numeral System,sft_train
082c1a06,Unit Conversion,sft_train
082ef256,Numeral System,sft_train
08324468,Text Cipher,sft_train
083882c7,Unit Conversion,sft_train
0839e9e0,Unit Conversion,sft_train
084a4496,Bit Manipulation,sft_train
084f0513,Unit Conversion,sft_train
0858c338,Text Cipher,sft_train
0866671e,Text Cipher,sft_train
086adade,Gravity,sft_train
086cce4f,Numeral System,sft_train
086e5409,Gravity,sft_train
08705b5e,Text Cipher,sft_train
087cc5ba,Unit Conversion,sft_train
088d07a3,Gravity,sft_train
08a161c9,Bit Manipulation,sft_train
08ad3b0b,Text Cipher,sft_train
08b0756a,Numeral System,sft_train
08b0ee54,Text Cipher,sft_train
08b2b48d,Bit Manipulation,sft_train
08bc3a02,Text Cipher,sft_train
08d8d7e1,Transformation Rules,sft_train
08df5363,Bit Manipulation,sft_train
08e9fe0e,Numeral System,sft_train
08f33ade,Gravity,sft_train
090a5f54,Numeral System,sft_train
092ce1c8,Unit Conversion,sft_train
093da3ad,Text Cipher,sft_train
093de4ea,Bit Manipulation,sft_train
09458326,Gravity,sft_train
094bf548,Transformation Rules,sft_train
094de91f,Bit Manipulation,sft_train
0956453a,Text Cipher,sft_train
09777ee2,Numeral System,sft_train
0978d9f3,Gravity,sft_train
0980b3e6,Unit Conversion,sft_train
0982db70,Numeral System,sft_train
0988e4dd,Unit Conversion,sft_train
098c2ba5,Text Cipher,sft_train
09913b3c,Gravity,sft_train
099b55fe,Unit Conversion,sft_train
099cb6bf,Text Cipher,sft_train
09a4e845,Unit Conversion,sft_train
09b6b813,Text Cipher,sft_train
09bb197a,Text Cipher,sft_train
09bb92f4,Numeral System,sft_train
09bd635a,Gravity,sft_train
09d5ee68,Transformation Rules,sft_train
09e5b802,Gravity,sft_train
09eb1f7e,Unit Conversion,sft_train
0a01cd3a,Unit Conversion,sft_train
0a039aa6,Gravity,sft_train
0a0698b2,Unit Conversion,sft_train
0a09555d,Gravity,sft_train
0a1326f4,Bit Manipulation,sft_train
0a15c5c7,Transformation Rules,sft_train
0a195a74,Bit Manipulation,sft_train
0a1988b2,Numeral System,sft_train
0a1d7306,Text Cipher,sft_train
0a3c8962,Gravity,sft_train
0a41d1b5,Gravity,sft_train
0a45c663,Gravity,sft_train
0a49dd70,Unit Conversion,sft_train
0a4b6267,Gravity,sft_train
0a5c4c1e,Gravity,sft_train
0a5e80bf,Bit Manipulation,sft_train
0a6d48aa,Bit Manipulation,sft_train
0a94b2de,Transformation Rules,sft_train
0aa2c5bf,Numeral System,sft_train
0aaf8d39,Numeral System,sft_train
0ab0fe37,Numeral System,sft_train
0ab3d1de,Gravity,sft_train
0abfab8b,Bit Manipulation,sft_train
0ac03e7b,Unit Conversion,sft_train
0ac6606b,Text Cipher,sft_train
0adca57b,Numeral System,sft_train
0af037a5,Text Cipher,sft_train
0af9158d,Unit Conversion,sft_train
0b0a3643,Transformation Rules,sft_train
0b14fbf1,Gravity,sft_train
0b16458a,Bit Manipulation,sft_train
0b1e1afc,Gravity,sft_train
0b2877ce,Numeral System,sft_train
0b32a4fc,Text Cipher,sft_train
0b34281a,Numeral System,sft_train
0b3cf93f,Bit Manipulation,sft_train
0b45cd22,Gravity,sft_train
0b56b953,Bit Manipulation,sft_train
0b5d02f4,Gravity,sft_train
0b632ea3,Text Cipher,sft_train
0b6ca613,Gravity,sft_train
0b701abd,Text Cipher,sft_train
0b7cf346,Text Cipher,sft_train
0b865eea,Unit Conversion,sft_train
0ba6498d,Unit Conversion,sft_train
0ba9af93,Bit Manipulation,sft_train
0bb4ba4c,Numeral System,sft_train
0bb4cc45,Numeral System,sft_train
0bb591e6,Transformation Rules,sft_train
0bb68c48,Numeral System,sft_train
0bbde542,Unit Conversion,sft_train
0bc6e675,Bit Manipulation,sft_train
0bcffccd,Transformation Rules,sft_train
0bd0197c,Gravity,sft_train
0bd41b01,Numeral System,sft_train
0bd7fe62,Gravity,sft_train
0be4c157,Unit Conversion,sft_train
0c0683c3,Transformation Rules,sft_train
0c083613,Numeral System,sft_train
0c0955b1,Gravity,sft_train
0c0adfe3,Text Cipher,sft_train
0c1ce16d,Text Cipher,sft_train
0c2407ef,Bit Manipulation,sft_train
0c26f842,Unit Conversion,sft_train
0c4e7430,Numeral System,sft_train
0c5cf3d9,Numeral System,sft_train
0c671b98,Bit Manipulation,sft_train
0c88a3dc,Bit Manipulation,sft_train
0c8a8a16,Transformation Rules,sft_train
0c9b74fc,Numeral System,sft_train
0ca24ac3,Unit Conversion,sft_train
0ca688d9,Text Cipher,sft_train
0cbe2c1b,Unit Conversion,sft_train
0cc8d7c2,Gravity,sft_train
0cd170a0,Transformation Rules,sft_train
0cdb0aae,Transformation Rules,sft_train
0cddfe30,Numeral System,sft_train
0ceac403,Bit Manipulation,sft_train
0cf301cf,Transformation Rules,sft_train
0cfc74d4,Bit Manipulation,sft_train
0d0ab01d,Unit Conversion,sft_train
0d16ae24,Gravity,sft_train
0d2e94ff,Transformation Rules,sft_train
0d3974ba,Unit Conversion,sft_train
0d3d5c60,Unit Conversion,sft_train
0d473e1e,Gravity,sft_train
0d4b2baa,Transformation Rules,sft_train
0d4dc849,Gravity,sft_train
0d542478,Transformation Rules,sft_train
0d55039a,Text Cipher,sft_train
0d5d89ea,Numeral System,sft_train
0d69dc5d,Gravity,sft_train
0d6e3c06,Unit Conversion,sft_train
0d7269a5,Text Cipher,sft_train
0d753b10,Text Cipher,sft_train
0da1841f,Transformation Rules,sft_train
0da5e774,Numeral System,sft_train
0da71d35,Text Cipher,sft_train
0daa32de,Unit Conversion,sft_train
0dcacfab,Bit Manipulation,sft_train
0dce4039,Transformation Rules,sft_train
0dcfd566,Transformation Rules,sft_train
0dd5caf4,Bit Manipulation,sft_train
0df8306a,Bit Manipulation,sft_train
0dfd7674,Bit Manipulation,sft_train
0e009c6d,Transformation Rules,sft_train
0e0b13ac,Text Cipher,sft_train
0e18fe92,Unit Conversion,sft_train
0e19e1bb,Unit Conversion,sft_train
0e25b790,Text Cipher,sft_train
0e2d6796,Transformation Rules,sft_train
0e3307ba,Transformation Rules,sft_train
0e3519cd,Unit Conversion,sft_train
0e375364,Transformation Rules,sft_train
0e3962f6,Bit Manipulation,sft_train
0e3d5b3d,Numeral System,sft_train
0e4107aa,Gravity,sft_train
0e467c7b,Unit Conversion,sft_train
0e4795a7,Numeral System,sft_train
0e50e177,Numeral System,sft_train
0e5846dd,Numeral System,sft_train
0e5b7624,Unit Conversion,sft_train
0e700e9d,Numeral System,sft_train
0e70c867,Bit Manipulation,sft_train
0e7a6920,Bit Manipulation,sft_train
0e7fb350,Numeral System,sft_train
0e81751f,Gravity,sft_train
0e897e03,Gravity,sft_train
0ea93e44,Numeral System,sft_train
0eba0e15,Text Cipher,sft_train
0ec03576,Numeral System,sft_train
0ec04296,Gravity,sft_train
0ecdee5a,Gravity,sft_train
0ed7056a,Numeral System,sft_train
0effe408,Gravity,sft_train
0f01cece,Transformation Rules,sft_train
0f0536de,Transformation Rules,sft_train
0f067a67,Numeral System,sft_train
0f14cdfd,Gravity,sft_train
0f17279e,Gravity,sft_train
0f1bc0ff,Bit Manipulation,sft_train
0f26a837,Unit Conversion,sft_train
0f2dec86,Bit Manipulation,sft_train
0f2fa7dd,Text Cipher,sft_train
0f56374e,Bit Manipulation,sft_train
0f59f534,Gravity,sft_train
0f5ad104,Numeral System,sft_train
0f614833,Gravity,sft_train
0f635582,Unit Conversion,sft_train
0f6436da,Transformation Rules,sft_train
0f7337a1,Unit Conversion,sft_train
0f7be6a8,Bit Manipulation,sft_train
0f7d64e7,Numeral System,sft_train
0f7ddd75,Bit Manipulation,sft_train
0f8452df,Transformation Rules,sft_train
0fa2efa8,Text Cipher,sft_train
0fa58210,Text Cipher,sft_train
0fb02b67,Numeral System,sft_train
