id,prompt,answer,generated_cot,label,category,source,source_category
bit_rule_first_try,"In Alice's Wonderland bit manipulation knowledge, what should I try first when solving a bit manipulation puzzle?",per-bit single-pair Boolean search,"<think>
For each output column, look for a Boolean function (Identity / NOT / Constant / AND / OR / XOR / AND-NOT / OR-NOT / XOR-NOT) of one or two input bit columns that fits every example.
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
bit_rule_search_columns,"In Alice's Wonderland bit manipulation knowledge, in the per-bit search, what plays the role of an input feature?",an input bit column,"<think>
Each of the 8 input bit positions becomes one column. The search finds, for every output column, which one or two input columns (and which gate) explain it.
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
bit_rule_per_bit_families,"In Alice's Wonderland bit manipulation knowledge, list the Boolean families used in the per-bit single-pair search.","Identity, NOT, Constant, AND, OR, XOR, AND-NOT, OR-NOT, XOR-NOT","<think>
Identity / NOT / Constant cover one input column; AND / OR / XOR / AND-NOT / OR-NOT / XOR-NOT cover two input columns.
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
bit_rule_constant_caution,"In Alice's Wonderland bit manipulation knowledge, should I trust a Constant per-bit fit if I only have 8 examples?",No,"<think>
With only 8 examples a Constant fit can be coincidental. Prefer a non-trivial gate that also fits.
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
bit_rule_perfect_match,"In Alice's Wonderland bit manipulation knowledge, what does 'Perfect match' mean in a per-bit search trace?",the candidate fits every example for every output column,"<think>
A 'Perfect match: yes' verdict means the chosen Boolean rule reproduces the output exactly on every training example, with no exceptions.
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
bit_rule_stride_idea,"In Alice's Wonderland bit manipulation knowledge, what is the (+1, +1) stride idea?","output bit i depends on input bits i+a and i+b for fixed a, b across all positions","<think>
If the same offset pair (a, b) wins at every output position, the per-column search collapses to a single rule of the form output_i = gate(input_{i+a}, input_{i+b}).
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
bit_rule_search_failure,"In Alice's Wonderland bit manipulation knowledge, when does the per-bit single-pair search fail?",when no Boolean family produces a consistent fit for every output column,"<think>
If at least one output column has no single-pair Boolean rule that holds on every example, the per-bit search fails and we must fall back to a richer hypothesis class.
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
bit_rule_fallback,"In Alice's Wonderland bit manipulation knowledge, what should I try when the per-bit search fails?",depth-4 atom-pair composition: R(v) = atom_a(v) OP atom_b(v),"<think>
Build atoms from the transform vocabulary (each itself depth-2: e.g. ROT(2) XOR NOT SHR(3)) and combine two atoms with XOR / AND / OR.
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
bit_rule_atom_dictionary,"In Alice's Wonderland bit manipulation knowledge, what is the atom dictionary used for depth-4 search?","I, NOT, REV, NOT REV, plus ROT(k), SHL(k), SHR(k) and their NOT-variants for k=1..7","<think>
These are the 50+ atoms enumerated by Huikang's investigator extended with REV and NOT REV.
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
bit_rule_top_gates,"In Alice's Wonderland bit manipulation knowledge, what gate dictionary is used to combine two atoms in the depth-4 search?","XOR, AND, OR","<think>
The NOT-variants are already inside the atoms, so XOR / AND / OR at the top suffice (NAND / NOR / XNOR are reachable by flipping atoms).
</think>",Bit Manipulation Knowledge,Phase1A Bit Manipulation Knowledge,deterministic_bit_manipulation_knowledge,rule_card
