id,prompt,answer,generated_cot,label,category,source,source_category
text_knowledge_00001,"In Alice's Wonderland dictionary, list words starting with letters ""i"" through ""l"".","imagines, in, inside, island, key, king, knight, library","Wonderland words from ""i"" to ""l"": imagines, in, inside, island, key, king, knight, library (8 words).

Answer: \boxed{imagines, in, inside, island, key, king, knight, library}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,recall_range
text_knowledge_00002,"In Alice's Wonderland dictionary, which word(s) match the pattern ""v??la?e""?",village,"The pattern ""v??la?e"" is a 7-letter word. From the Wonderland dictionary, ""village"" matches.

Answer: \boxed{village}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00003,"In Alice's Wonderland dictionary, which word(s) match the pattern ""?rincess""?",princess,"The pattern ""?rincess"" is a 8-letter word. From the Wonderland dictionary, ""princess"" matches.

Answer: \boxed{princess}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00004,"Is the word ""heart"" in Alice's Wonderland dictionary?",No,"No, ""heart"" is not in the Wonderland dictionary. The 77 words do not include it.

Answer: \boxed{No}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00005,"In Alice's Wonderland dictionary, which word(s) match the pattern ""ch?ses""?",chases,"The pattern ""ch?ses"" is a 6-letter word. From the Wonderland dictionary, ""chases"" matches.

Answer: \boxed{chases}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00006,"In Alice's Wonderland dictionary, which word(s) match the pattern ""??rt?e""?",turtle,"The pattern ""??rt?e"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.

Answer: \boxed{turtle}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00007,"In Alice's Wonderland dictionary, which word(s) match the pattern ""myster?ous""?",mysterious,"The pattern ""myster?ous"" is a 10-letter word. From the Wonderland dictionary, ""mysterious"" matches.

Answer: \boxed{mysterious}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00008,"In Alice's Wonderland dictionary, which word(s) match ""?u??le""?","puzzle, turtle","The pattern ""?u??le"" matches 2 Wonderland words: puzzle, turtle. Context from the cipher mapping would be needed to disambiguate.

Answer: \boxed{puzzle, turtle}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match_ambiguous
text_knowledge_00009,"In Alice's Wonderland dictionary, which word(s) match the pattern ""??la?e""?",palace,"The pattern ""??la?e"" is a 6-letter word. From the Wonderland dictionary, ""palace"" matches.

Answer: \boxed{palace}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00010,"In Alice's Wonderland dictionary, which word(s) match the pattern ""?i?r?r""?",mirror,"The pattern ""?i?r?r"" is a 6-letter word. From the Wonderland dictionary, ""mirror"" matches.

Answer: \boxed{mirror}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00011,"In Alice's Wonderland dictionary, which word(s) match the pattern ""un?e?""?",under,"The pattern ""un?e?"" is a 5-letter word. From the Wonderland dictionary, ""under"" matches.

Answer: \boxed{under}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00012,"In Alice's Wonderland dictionary, which word(s) match the pattern ""anc?ent""?",ancient,"The pattern ""anc?ent"" is a 7-letter word. From the Wonderland dictionary, ""ancient"" matches.

Answer: \boxed{ancient}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00013,"In Alice's Wonderland dictionary, which word(s) match the pattern ""f?llows""?",follows,"The pattern ""f?llows"" is a 7-letter word. From the Wonderland dictionary, ""follows"" matches.

Answer: \boxed{follows}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00014,"In Alice's Wonderland dictionary, which word(s) match the pattern ""??land""?",island,"The pattern ""??land"" is a 6-letter word. From the Wonderland dictionary, ""island"" matches.

Answer: \boxed{island}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00015,"In Alice's Wonderland dictionary, list all words with exactly 8 letters.","colorful, explores, imagines, mountain, princess, treasure","The Wonderland dictionary has 6 word(s) with 8 letters: colorful, explores, imagines, mountain, princess, treasure.

Answer: \boxed{colorful, explores, imagines, mountain, princess, treasure}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00016,"In Alice's Wonderland dictionary, which word(s) match the pattern ""mi?ror""?",mirror,"The pattern ""mi?ror"" is a 6-letter word. From the Wonderland dictionary, ""mirror"" matches.

Answer: \boxed{mirror}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00017,"In Alice's Wonderland dictionary, which word(s) match the pattern ""drag?n""?",dragon,"The pattern ""drag?n"" is a 6-letter word. From the Wonderland dictionary, ""dragon"" matches.

Answer: \boxed{dragon}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00018,"In Alice's Wonderland dictionary, which word(s) match the pattern ""ca?""?",cat,"The pattern ""ca?"" is a 3-letter word. From the Wonderland dictionary, ""cat"" matches.

Answer: \boxed{cat}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00019,"In Alice's Wonderland dictionary, which word(s) match the pattern ""rab?it""?",rabbit,"The pattern ""rab?it"" is a 6-letter word. From the Wonderland dictionary, ""rabbit"" matches.

Answer: \boxed{rabbit}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00020,"In Alice's Wonderland dictionary, which word(s) match the pattern ""t?rt?e""?",turtle,"The pattern ""t?rt?e"" is a 6-letter word. From the Wonderland dictionary, ""turtle"" matches.

Answer: \boxed{turtle}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00021,"In Alice's Wonderland dictionary, which word(s) match the pattern ""s??ret""?",secret,"The pattern ""s??ret"" is a 6-letter word. From the Wonderland dictionary, ""secret"" matches.

Answer: \boxed{secret}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00022,"In Alice's Wonderland dictionary, which word(s) match the pattern ""?r?ates""?",creates,"The pattern ""?r?ates"" is a 7-letter word. From the Wonderland dictionary, ""creates"" matches.

Answer: \boxed{creates}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00023,"In Alice's Wonderland dictionary, which word(s) match the pattern ""?e?s""?",sees,"The pattern ""?e?s"" is a 4-letter word. From the Wonderland dictionary, ""sees"" matches.

Answer: \boxed{sees}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00024,"Is the word ""crown"" in Alice's Wonderland dictionary?",No,"No, ""crown"" is not in the Wonderland dictionary. The 77 words do not include it.

Answer: \boxed{No}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00025,"In Alice's Wonderland dictionary, which word(s) match the pattern ""?slan?""?",island,"The pattern ""?slan?"" is a 6-letter word. From the Wonderland dictionary, ""island"" matches.

Answer: \boxed{island}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00026,"In Alice's Wonderland dictionary, list all words related to adjectives.","ancient, bright, clever, colorful, curious, dark, golden, hidden, magical, mysterious, near, secret, silver, strange, wise","Wonderland words related to adjectives: ancient, bright, clever, colorful, curious, dark, golden, hidden, magical, mysterious, near, secret, silver, strange, wise (15 words).

Answer: \boxed{ancient, bright, clever, colorful, curious, dark, golden, hidden, magical, mysterious, near, secret, silver, strange, wise}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,recall_semantic
text_knowledge_00027,"In Alice's Wonderland dictionary, which word(s) match the pattern ""color??l""?",colorful,"The pattern ""color??l"" is a 8-letter word. From the Wonderland dictionary, ""colorful"" matches.

Answer: \boxed{colorful}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00028,"In Alice's Wonderland dictionary, which word(s) match the pattern ""?a?b?t""?",rabbit,"The pattern ""?a?b?t"" is a 6-letter word. From the Wonderland dictionary, ""rabbit"" matches.

Answer: \boxed{rabbit}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
text_knowledge_00029,"In Alice's Wonderland dictionary, which word(s) match the pattern ""ki?g""?",king,"The pattern ""ki?g"" is a 4-letter word. From the Wonderland dictionary, ""king"" matches.

Answer: \boxed{king}
",Text Cipher Knowledge,Text Cipher Knowledge,doc2lora_knowledge_qa,pattern_match
