id,prompt,answer,generated_cot,label,category,source,source_category
ne_accepteddsl_inventory_pairings,"In numeric_equation Phase 1A knowledge, which pairings are used by the accepted labelled rows?","BA_DC, AB_CD, BA_CD","<think>
Use the accepted labelled rows as the DSL boundary. The observed pairings are BA_DC (449), AB_CD (246), BA_CD (1).
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,accepted_dsl_inventory
ne_accepteddsl_inventory_base_rules,"In numeric_equation Phase 1A knowledge, which base rules should be available?","y - x, x * y, x + y, x - y, concat(x, y), x * y - 1, x * y + 1, |x - y|, x + y - 1, x + y + 1, y mod x, concat(y, x), x // y, x mod y, x + y + x*y","<think>
The base-rule inventory is exactly the set used by accepted numeric-equation traces: x - y (122), x + y (115), x * y (97), concat(x, y) (72), |x - y| (59), x * y - 1 (48), x * y + 1 (44), x + y - 1 (44), x + y + 1 (42), y - x (28), concat(y, x) (11), y mod x (7), x mod y (5), x // y (1), x + y + x*y (1).
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,accepted_dsl_inventory
ne_accepteddsl_inventory_output_modes,"In numeric_equation Phase 1A knowledge, which output modes should be available?","op_suffix_rev_if_neg, rev, plain, neg_rev, rev_or_op_prefix_rev_if_neg, op_prefix_rev, op_prefix_if_neg, op_suffix_rev, op_prefix, neg, plain_or_op_prefix_rev_if_neg, abs_rev, op_suffix, rev_or_op_suffix_if_neg","<think>
The output-mode inventory is exactly the set used by accepted numeric-equation traces: rev (376), plain (164), op_prefix_if_neg (64), rev_or_op_prefix_rev_if_neg (37), op_prefix (15), op_prefix_rev (14), neg_rev (7), rev_or_op_suffix_if_neg (7), op_suffix_rev_if_neg (5), neg (3), op_suffix_rev (1), plain_or_op_prefix_rev_if_neg (1), abs_rev (1), op_suffix (1).
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,accepted_dsl_inventory
ne_accepteddsl_top_priority_combos,"In numeric_equation Phase 1A knowledge, what are the highest-priority accepted rule combinations?","BA_DC|x + y|rev; BA_DC|x * y|rev; BA_DC|x - y|rev; BA_DC|concat(x, y)|rev; BA_DC|x * y - 1|rev; AB_CD|concat(x, y)|plain; BA_DC|x + y - 1|rev; BA_DC|x + y + 1|rev; AB_CD|x - y|plain; BA_DC|x * y + 1|rev","<think>
Scan common accepted combinations first. The top accepted combinations are BA_DC|x + y|rev (89); BA_DC|x * y|rev (67); BA_DC|x - y|rev (50); BA_DC|concat(x, y)|rev (35); BA_DC|x * y - 1|rev (30); AB_CD|concat(x, y)|plain (25); BA_DC|x + y - 1|rev (24); BA_DC|x + y + 1|rev (24); AB_CD|x - y|plain (21); BA_DC|x * y + 1|rev (21).
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,priority_inventory
ne_inventory_base_accept_001,"Should accepted numeric_equation Phase 1A include base rule concat(x, y)?",Yes,"<think>
Yes. concat(x, y) appears in accepted labelled numeric-equation rows 72 time(s), so it belongs to the core tier.
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,dsl_boundary
ne_inventory_base_accept_002,"Should accepted numeric_equation Phase 1A include base rule concat(y, x)?",Yes,"<think>
Yes. concat(y, x) appears in accepted labelled numeric-equation rows 11 time(s), so it belongs to the common support tier.
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,dsl_boundary
ne_inventory_base_accept_003,Should accepted numeric_equation Phase 1A include base rule x * y?,Yes,"<think>
Yes. x * y appears in accepted labelled numeric-equation rows 97 time(s), so it belongs to the core tier.
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,dsl_boundary
ne_inventory_base_accept_004,Should accepted numeric_equation Phase 1A include base rule x * y + 1?,Yes,"<think>
Yes. x * y + 1 appears in accepted labelled numeric-equation rows 44 time(s), so it belongs to the common support tier.
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,dsl_boundary
ne_inventory_base_accept_005,Should accepted numeric_equation Phase 1A include base rule x * y - 1?,Yes,"<think>
Yes. x * y - 1 appears in accepted labelled numeric-equation rows 48 time(s), so it belongs to the common support tier.
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,dsl_boundary
ne_inventory_base_accept_006,Should accepted numeric_equation Phase 1A include base rule x + y?,Yes,"<think>
Yes. x + y appears in accepted labelled numeric-equation rows 115 time(s), so it belongs to the core tier.
</think>",Numeric Equation Knowledge,Phase1A Numeric Equation Knowledge,accepted_rule_numeric_equation_knowledge,dsl_boundary
